#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Mar 08 18:37:36 EST 2018,38,38,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- SizeTest1- SizeTest2- SizeTest4- , ,
1,Thu Mar 08 19:37:47 EST 2018,44,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2+ InsertTest1 InsertTest2 InsertTest3 SizeTest1+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3- SizeTest4 , ,
2,Thu Mar 08 20:03:32 EST 2018,50,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
3,Thu Mar 08 20:06:24 EST 2018,44,-6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3- DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
4,Thu Mar 08 20:07:01 EST 2018,50,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
5,Thu Mar 08 20:07:23 EST 2018,50,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
6,Thu Mar 08 20:07:38 EST 2018,50,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
7,Thu Mar 08 20:20:27 EST 2018,50,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
8,Thu Mar 08 20:20:41 EST 2018,50,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
9,Fri Mar 09 18:10:29 EST 2018,50,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
